query_id,category,engine,rep,brand,product,rank
earbuds_01,earbuds,chatgpt,1,anker,Anker Soundcore Space A40,1
earbuds_01,earbuds,chatgpt,1,jbl,JBL Vibe Buds,2
earbuds_01,earbuds,chatgpt,1,tozo,TOZO T6,3
earbuds_01,earbuds,chatgpt,2,anker,Anker Soundcore Space A40,1
earbuds_01,earbuds,chatgpt,2,jbl,JBL Vibe Buds,2
earbuds_01,earbuds,chatgpt,2,tozo,TOZO NC9,3
earbuds_01,earbuds,chatgpt,3,anker,Anker Soundcore Space A40,1
earbuds_01,earbuds,chatgpt,3,jbl,JBL Vibe Buds,2
earbuds_01,earbuds,chatgpt,3,tozo,TOZO T6,3
earbuds_01,earbuds,gemini,1,jbl,JBL Vibe Beam,1
earbuds_01,earbuds,gemini,1,tozo,TOZO T6,2
earbuds_01,earbuds,gemini,1,anker,Anker Soundcore Life P2 Mini,3
earbuds_01,earbuds,gemini,1,skullcandy,Skullcandy Dime 3,4
earbuds_01,earbuds,gemini,2,skullcandy,(mentioned: skullcandy),1
earbuds_01,earbuds,gemini,2,anker,(mentioned: anker),2
earbuds_01,earbuds,gemini,2,soundcore,(mentioned: soundcore),3
earbuds_01,earbuds,gemini,2,tozo,(mentioned: tozo),4
earbuds_01,earbuds,gemini,2,soundpeats,(mentioned: soundpeats),5
earbuds_01,earbuds,gemini,2,moondrop,(mentioned: moondrop),6
earbuds_01,earbuds,gemini,2,edifier,(mentioned: edifier),7
earbuds_01,earbuds,gemini,2,jbl,(mentioned: jbl),8
earbuds_01,earbuds,gemini,3,skullcandy,(mentioned: skullcandy),1
earbuds_01,earbuds,gemini,3,earfun,(mentioned: earfun),2
earbuds_01,earbuds,gemini,3,anker,(mentioned: anker),3
earbuds_01,earbuds,gemini,3,soundcore,(mentioned: soundcore),4
earbuds_01,earbuds,gemini,3,tozo,(mentioned: tozo),5
earbuds_01,earbuds,gemini,3,moondrop,(mentioned: moondrop),6
earbuds_01,earbuds,gemini,3,edifier,(mentioned: edifier),7
earbuds_01,earbuds,perplexity,1,anker,Anker Soundcore Space A40 Truly Wireless,1
earbuds_01,earbuds,perplexity,1,soundcore,Soundcore P31i,2
earbuds_01,earbuds,perplexity,1,sony,Sony WF,3
earbuds_01,earbuds,perplexity,1,tozo,Tozo NC9,4
earbuds_01,earbuds,perplexity,1,soundpeats,SoundPEATS Truengine 3 SE,5
earbuds_01,earbuds,perplexity,2,anker,Anker Soundcore Space A40 Truly Wireless,1
earbuds_01,earbuds,perplexity,2,soundcore,Soundcore P31i / R60i NC,2
earbuds_01,earbuds,perplexity,2,sony,Sony WF,3
earbuds_01,earbuds,perplexity,2,tozo,Tozo NC9,4
earbuds_01,earbuds,perplexity,2,soundpeats,SoundPEATS Truengine 3 SE,5
earbuds_01,earbuds,perplexity,3,anker,(mentioned: anker),1
earbuds_01,earbuds,perplexity,3,soundcore,(mentioned: soundcore),2
earbuds_01,earbuds,perplexity,3,tozo,(mentioned: tozo),3
earbuds_01,earbuds,perplexity,3,soundpeats,(mentioned: soundpeats),4
earbuds_01,earbuds,perplexity,3,sony,(mentioned: sony),5
earbuds_01,earbuds,claude,1,earfun,(mentioned: earfun),1
