brand,total_mentions
keychron,181
asics,175
cerave,142
saucony,140
brooks,134
nike,122
anker,117
sony,114
new balance,108
hoka,105
la roche-posay,92
adidas,91
neutrogena,78
apple,67
royal kludge,60
earfun,59
bose,53
retinol,52
soundcore,49
sennheiser,47
redragon,46
tozo,44
the ordinary,43
jbl,42
logitech,42
niacinamide,42
nuphy,40
wooting,33
technics,31
cetaphil,31
skinceuticals,31
vanicream,30
soundpeats,28
samsung,28
razer,28
nothing,27
puma,27
akko,26
epomaker,23
adapalene,20
differin,19
jabra,18
steelseries,18
eltamd,18
ajazz,17
glorious,17
kinesis,16
mizuno,16
skullcandy,15
liberty,14
ducky,14
zsa,14
olay,13
supergoop,12
vichy,12
oneplus,11
beats,11
salomon,11
reebok,10
altra,10
on running,10
la sportiva,10
hyperx,9
craft,9
corsair,9
good molecules,8
eucerin,8
sk-ii,8
topo athletic,7
the inkey list,7
paula's choice,7
gamakay,6
aveeno,6
tatcha,6
kiehl's,6
moondrop,5
edifier,5
bang & olufsen,5
monsgeek,5
cosrx,5
realme,4
ergodox,4
sulwhasoo,4
huawei,3
pixel,3
yunzii,3
leopold,3
versed,3
1more,2
havit,2
hhkb,2
fiio,1
google,1
anne pro,1
under armour,1
merrell,1
bioderma,1
beauty of joseon,1
shiseido,1
drunk elephant,1
murad,1
clinique,1
dermalogica,1
