parameter,coefficient,se_robust,z_value,p_value
intercept,-3.9411,0.2314,-17.03,0.0
α_adidas,1.6007,0.2568,6.23,0.0
α_ajazz,-0.166,0.3369,-0.49,0.6221
α_akko,0.2692,0.3052,0.88,0.3777
α_anker,1.8852,0.2523,7.47,0.0
α_apple,1.2647,0.2642,4.79,0.0
α_asics,2.366,0.2443,9.69,0.0
α_bose,1.0133,0.2714,3.73,0.0002
α_brooks,2.0432,0.2503,8.16,0.0
α_cerave,2.1118,0.2145,9.85,0.0
α_cetaphil,0.4509,0.2643,1.71,0.0881
α_differin,-0.0527,0.174,-0.3,0.762
α_earfun,1.1279,0.2679,4.21,0.0
α_eltamd,-0.1079,0.285,-0.38,0.7051
α_epomaker,0.1432,0.3133,0.46,0.6476
α_glorious,-0.166,0.3369,-0.49,0.6221
α_hoka,1.7614,0.2541,6.93,0.0
α_jabra,-0.1079,0.332,-0.32,0.7453
α_jbl,0.7676,0.2803,2.74,0.0062
α_keychron,2.4081,0.247,9.75,0.0
α_kinesis,-0.2276,0.3422,-0.67,0.506
α_la roche-posay,1.6129,0.2202,7.32,0.0
α_logitech,0.7676,0.2803,2.74,0.0062
α_mizuno,-0.2276,0.3422,-0.67,0.506
α_neutrogena,1.4303,0.2182,6.56,0.0
α_new balance,1.7934,0.2536,7.07,0.0
α_niacinamide,0.7676,0.2188,3.51,0.0005
α_nike,1.9336,0.2516,7.68,0.0
α_nothing,0.3081,0.3029,1.02,0.3091
α_nuphy,0.7165,0.2824,2.54,0.0112
α_puma,0.3081,0.3029,1.02,0.309
α_razer,0.3456,0.3007,1.15,0.2504
α_redragon,0.8632,0.2766,3.12,0.0018
α_retinol,0.993,0.2563,3.87,0.0001
α_royal kludge,1.1459,0.2674,4.29,0.0
α_samsung,0.3456,0.3007,1.15,0.2504
α_saucony,2.095,0.2497,8.39,0.0
α_sennheiser,0.8859,0.2758,3.21,0.0013
α_skinceuticals,0.4509,0.2949,1.53,0.1263
α_skullcandy,-0.2936,0.3483,-0.84,0.3993
α_sony,1.8553,0.2527,7.34,0.0
α_soundcore,0.93,0.2742,3.39,0.0007
α_soundpeats,0.3456,0.3007,1.15,0.2504
α_steelseries,-0.1079,0.332,-0.32,0.7453
α_technics,0.4509,0.2949,1.53,0.1263
α_the ordinary,0.7923,0.2409,3.29,0.001
α_tozo,0.8164,0.2784,2.93,0.0034
α_vanicream,0.4169,0.2719,1.53,0.1252
α_wooting,0.5158,0.2916,1.77,0.0769
β_claude,-0.1442,0.0697,-2.07,0.0384
β_deepseek,0.1934,0.0581,3.33,0.0009
β_gemini,0.1934,0.0593,3.26,0.0011
β_perplexity,0.0451,0.0595,0.76,0.4484
γ_specific,0.1255,0.0451,2.78,0.0054
γ_vague,0.1566,0.0642,2.44,0.0146
